Triphone,Count
p-w-ɔ̀,1
w-ɔ̀-k,3
m-b-ə́,2
n-d-ɔ́,1
d-ɔ́-',1
ɔ́-'-ɔ́,1
ŋ-k-ə̀,1
k-ə̀-t,1
ə̀-t-ú,1
t-ú-',2
l-ɔ́-',1
ɔ́-'-z,1
'-z-ə́,5
ŋ-k-w,17
k-w-ɔ̀,5
w-ɔ̀-',5
n-z-í,13
z-í-z,4
í-z-ə́,4
m-b-ɛ́,2
ŋ-k-ə́,1
k-ə́-t,1
ə́-t-ú,1
n-j-ɔ́,1
j-ɔ́-k,1
ɔ́-k-w,1
k-w-ɨ́,7
w-ɨ́-p,1
s-á-k,8
n-d-z,1
d-z-ə́,1
w-ǔ-p,1
n-ó-p,2
ó-p-n,2
p-n-à,3
n-à-',6
n-ɔ̂-n,2
ɔ̂-n-ɔ̀,1
ŋ-á-',1
m-c-w,2
c-w-ɔ̀,2
p-ɔ́-n,7
ɔ́-n-j,7
n-j-w,7
j-w-í,7
w-é-t,1
é-t-é,1
k-w-é,13
m-ə́-n,4
ə́-n-t,4
n-t-é,4
n-j-à,1
j-à-',1
c-ə́-t,3
ə́-t-ɔ̀,1
m-á-',1
á-'-z,4
t-á-',1
z-í-s,8
í-s-ə́,6
ə́-t-ɔ̌,2
m-í-ə́,1
í-ə́-gh,1
ə́-gh-ə̀,1
gh-w-ɔ́,1
w-ɔ́-',1
í-s-ə̀,2
n-d-î,5
d-î-z,5
î-z-ə́,5
n-d-ə̀,1
d-ə̀-p,1
sh-í-í,1
y-á-',7
ŋ-w-ə́,29
n-d-y,2
d-y-ɔ́,1
y-ɔ́-k,1
n-á-',12
ɔ̂-n-ɔ́,1
p-h-ú,2
m-b-ɛ̀,33
m-b-í,4
k-ú-n,1
ú-n-d,1
d-y-ə̂,1
ŋ-k-ɛ́,1
t-á-k,1
á-k-ə̀,1
n-d-ú,1
d-ú-p,1
ú-p-z,1
p-z-ə́,2
p-ú-',6
n-ò-p,1
ò-p-n,1
n-s-ó,1
zh-ú-ə́,1
ú-ə́-s,1
ə́-s-ó,1
l-á-',6
h-ɔ́-',1
f-ə́-k,6
n-á-k,1
gh-á-p,1
á-p-t,1
p-t-z,1
t-z-ə́,1
ŋ-g-á,1
g-á-p,1
á-p-z,1
ŋ-á-ŋ,1
á-ŋ-ú,1
y-à-',5
m-b-y,2
b-y-ɛ̂,2
